NameType	Platform	Encoding	Language	Name	Key (platform, encoding, language, name id)
Copyright	Macintosh	Roman	English	Digitized data copyright (c) 2010-2012 Google Corporation.	(1, 0, 0, 0)
Family Name	Macintosh	Roman	English	Cousine	(1, 0, 0, 1)
Subfamily Name	Macintosh	Roman	English	Bold Italic	(1, 0, 0, 2)
Unique Font Identifier	Macintosh	Roman	English	1.21;MONO;Cousine-BoldItalic	(1, 0, 0, 3)
Full Font Name	Macintosh	Roman	English	Cousine Bold Italic	(1, 0, 0, 4)
Version	Macintosh	Roman	English	Version 1.21	(1, 0, 0, 5)
PostScript Name	Macintosh	Roman	English	Cousine-BoldItalic	(1, 0, 0, 6)
Trademark	Macintosh	Roman	English	Cousine is a trademark of Google Inc. and may be registered in certain jurisdictions.	(1, 0, 0, 7)
Manufacturer	Macintosh	Roman	English	Monotype Imaging Inc.	(1, 0, 0, 8)
Designer	Macintosh	Roman	English	Steve Matteson	(1, 0, 0, 9)
Vendor URL	Macintosh	Roman	English	http://www.monotypeimaging.com	(1, 0, 0, 11)
Designer URL	Macintosh	Roman	English	http://www.monotypeimaging.com/ProductsServices/TypeDesignerShowcase	(1, 0, 0, 12)
License Text	Macintosh	Roman	English	Licensed under the Apache License, Version 2.0	(1, 0, 0, 13)
License URL	Macintosh	Roman	English	http://www.apache.org/licenses/LICENSE-2.0	(1, 0, 0, 14)
Copyright	Windows	Unicode BMP	English (United States)	Digitized data copyright (c) 2010-2012 Google Corporation.	(3, 1, 1033, 0)
Family Name	Windows	Unicode BMP	English (United States)	Cousine	(3, 1, 1033, 1)
Subfamily Name	Windows	Unicode BMP	English (United States)	Bold Italic	(3, 1, 1033, 2)
Unique Font Identifier	Windows	Unicode BMP	English (United States)	1.21;MONO;Cousine-BoldItalic	(3, 1, 1033, 3)
Full Font Name	Windows	Unicode BMP	English (United States)	Cousine Bold Italic	(3, 1, 1033, 4)
Version	Windows	Unicode BMP	English (United States)	Version 1.21	(3, 1, 1033, 5)
PostScript Name	Windows	Unicode BMP	English (United States)	Cousine-BoldItalic	(3, 1, 1033, 6)
Trademark	Windows	Unicode BMP	English (United States)	Cousine is a trademark of Google Inc. and may be registered in certain jurisdictions.	(3, 1, 1033, 7)
Manufacturer	Windows	Unicode BMP	English (United States)	Monotype Imaging Inc.	(3, 1, 1033, 8)
Designer	Windows	Unicode BMP	English (United States)	Steve Matteson	(3, 1, 1033, 9)
Vendor URL	Windows	Unicode BMP	English (United States)	http://www.monotypeimaging.com	(3, 1, 1033, 11)
Designer URL	Windows	Unicode BMP	English (United States)	http://www.monotypeimaging.com/ProductsServices/TypeDesignerShowcase	(3, 1, 1033, 12)
License Text	Windows	Unicode BMP	English (United States)	Licensed under the Apache License, Version 2.0	(3, 1, 1033, 13)
License URL	Windows	Unicode BMP	English (United States)	http://www.apache.org/licenses/LICENSE-2.0	(3, 1, 1033, 14)
